i,b,c
1,-1.127762,3.368288
2,0.618426,2.726219
3,4.685391,2.090940
4,2.732705,3.984901
5,4.959628,3.976584
6,-2.428381,2.599108
7,-4.577509,2.341914
8,-0.819121,3.158716
9,-0.044005,3.199312
10,2.178804,2.935493
11,2.540562,3.730087
12,-1.829411,3.844417
13,-2.274935,3.913775
14,3.189450,3.329253
15,-0.232241,2.957396
16,-2.176052,2.085547
17,-2.934498,3.816373
18,4.455202,2.101617
19,0.840462,3.542876
20,-1.694337,3.074909
21,3.769906,3.477771
22,4.055442,3.610407
23,4.980058,2.239159
24,-3.727092,2.969040
25,-1.745464,3.330712
26,-0.637669,2.086419
27,-2.251980,2.448974
28,4.258598,2.569158
29,2.539486,2.881743
30,-4.991782,2.939322
31,3.662557,3.623477
32,2.697641,2.199516
33,2.460038,2.042002
34,-0.689564,2.572105
35,-2.812085,2.480176
36,-2.022315,3.536887
37,2.944424,2.773751
38,-0.342047,3.596244
39,-0.595835,2.983781
40,-1.541025,3.550698
